Lon,Lat,Diam,RBA,Terrane
188.026,61.0386,13.5213,-0.401460652,0
185.595,60.989,13.0119,3.684690706,0
183.046,60.8108,27.2383,5.529127468,0
178.486,61.2535,20.4314,3.763745478,0
176.478,60.942,10.5378,4.375146177,0
180.175,61.894,14.0578,2.166108669,0
173.07,61.5267,14.2656,-2.217464929,0
165.81,60.8844,17.3539,4.918169961,0
166.653,61.2513,12.0913,5.451822038,0
160.113,60.5429,10.7721,-3.768850566,0
161.596,61.0881,11.7217,0.129469284,0
157.334,61.1596,18.6929,2.423979621,0
163.512,60.9464,11.0896,8.417670942,0
165.132,61.5794,11.8502,2.606358635,0
168.617,61.4953,11.6309,0.171339104,0
171.441,63.3086,11.5848,1.463437901,0
177.193,62.8265,14.5861,0.402606081,0
179.725,63.3087,14.2857,9.475989122,0
184.163,63.1586,23.9923,-5.87774852,0
188.895,62.9907,19.1243,26.78616697,0
189.465,61.9458,11.5765,2.602563475,0
190.594,62.5659,10.6494,4.017820394,0
192.972,62.2349,16.1007,3.714957451,0
197.077,62.035,22.691,25.15824433,3
198.048,61.7687,26.9385,12.73164093,0
201.538,60.5461,14.1778,35.15094864,0
202.778,60.224,14.348,8.580243031,0
199.194,62.0534,10.1182,-8.078285216,0
196.63,62.692,10.2426,2.114795868,0
194.513,63.0131,12.7017,6.12796211,0
194.157,63.6221,11.5742,5.354916721,0
183.514,64.245,13.2911,4.447015219,0
181.065,63.0117,18.1349,-6.635629373,0
181.541,63.2202,24.8518,-10.44455068,0
179.886,63.5505,10.3823,-0.199975569,0
180.671,64.4658,14.4263,9.506705488,0
175.392,64.5669,14.4478,-2.296839927,0
172.527,64.384,16.4755,10.10301688,3
170.128,63.8351,17.7949,10.302305,0
165.139,63.2432,14.1779,1.284154855,0
164.297,62.9436,19.4175,-3.599738788,0
162.439,62.6793,11.4943,-1.697899592,0
162.779,62.9494,17.1482,0.940044401,0
161.565,62.5341,10.904,2.074324995,0
156.089,61.0049,12.039,8.108635228,0
152.323,61.5893,17.6015,5.670472791,0
152.346,60.4106,13.6952,10.58325164,0
148.845,60.6651,11.8793,2.554640455,0
149.602,60.3017,28.243,-13.19789971,0
149.209,60.8359,11.8373,0.860036849,0
151.096,62.0931,10.7144,4.688646474,0
149.711,61.0747,14.6535,-2.127493601,0
150.33,61.3245,13.0378,1.218489881,0
158.291,63.1666,11.438,0.317768366,0
158.451,63.4366,18.8588,3.546562582,0
158.376,64.2986,16.5877,3.830928654,0
157.913,63.758,10.7339,-1.773808417,0
161.265,63.7112,15.6264,-2.733959825,0
172.819,65.0295,10.0828,5.602687095,0
173.529,65.937,17.0807,-3.147150773,0
178.536,65.8326,22.5347,-3.316269751,0
179.67,65.0896,14.6638,1.318634,0
180.676,65.3442,11.4185,-2.568946147,0
201.023,62.8503,13.5313,9.189406768,0
214.123,60.9582,28.5488,-7.2164962,0
214.836,65.0554,21.2384,0.692171012,0
218.993,61.1215,29.6124,-8.793244775,0
212.255,62.5759,10.5403,1.475926415,0
201.822,64.894,10.5053,-0.121952226,0
199.948,65.4756,10.5683,1.427122459,0
201.386,65.3916,10.9386,4.015986695,0
180.181,66.4463,14.7835,-1.738237809,0
175.651,66.3163,17.8985,8.604231075,0
174.405,66.7283,14.8846,2.363260903,0
173,66.4621,21.7431,-3.863979886,0
167.575,65.926,19.1679,4.540586616,0
162.178,65.3015,27.9307,5.436035143,0
151.831,62.988,24.0399,-1.095257541,0
146.097,61.448,21.9057,-2.794045712,0
140.373,61.0811,11.7911,8.342872762,0
145.307,63.0046,14.6475,-0.06001133,0
145.446,63.3496,15.3109,2.32402093,0
149.487,64.5026,18.2225,0.404878117,0
147.426,64.294,23.8765,1.967170237,0
150.713,65.0464,22.943,6.375260619,0
152.157,64.9799,18.7267,-1.837546326,0
153.324,65.1001,11.8095,3.295465164,0
158.063,66.0028,17.3225,-1.544031651,0
161.809,66.8722,11.9159,1.625082956,0
162.721,66.7037,17.9099,9.621170877,0
171.04,67.4074,14.3155,0.360294826,0
175.965,67.4949,18.2655,-6.863800662,0
